sitename,county,aqi,pollutant,status,co,pm2.5,pm2.5_avg,nox
嘉義（東區）,嘉義市,76,細懸浮微粒,普通,0.33,27.0,21.5,23.2
屏東(枋山),屏東縣,44,,良好,0.21,6.0,10.9,5.0
臺南（南化）,台南市,57,細懸浮微粒,普通,0.29,12.0,14.7,8.5
新北(樹林),新北市,40,,良好,0.35,8.0,8.1,23.8
屏東（琉球）,屏東縣,55,懸浮微粒,普通,0.37,13.0,13.0,21.9
南投（鹿谷）,南投縣,55,細懸浮微粒,普通,0.28,11.0,14.0,7.5
高雄（湖內）,高雄市,65,懸浮微粒,普通,0.33,17.0,17.1,20.1
宜蘭（三星）,宜蘭縣,27,,良好,0.12,1.0,1.2,1.7
林森,台南市,69,懸浮微粒,普通,0.5,16.0,15.3,25.3
員林,彰化縣,50,,良好,0.38,15.0,12.1,23.1
大城,彰化縣,54,細懸浮微粒,普通,0.35,15.0,13.7,23.2
富貴角,新北市,55,細懸浮微粒,普通,0.05,12.0,14.0,0.6
麥寮,雲林縣,59,懸浮微粒,普通,0.43,19.0,11.9,21.4
關山,台東縣,25,,良好,0.2,7.0,5.1,5.5
馬公,澎湖縣,48,,良好,0.14,11.0,10.3,2.1
金門,金門縣,75,細懸浮微粒,普通,0.24,16.0,21.2,10.9
馬祖,連江縣,58,細懸浮微粒,普通,0.17,10.0,15.1,5.1
埔里,南投縣,70,細懸浮微粒,普通,0.32,23.0,19.6,8.7
復興,高雄市,68,細懸浮微粒,普通,0.44,16.0,18.8,21.1
永和,新北市,26,,良好,0.29,6.0,6.5,12.6
竹山,南投縣,75,細懸浮微粒,普通,0.33,21.0,21.3,17.0
中壢,桃園市,33,,良好,0.38,5.0,8.2,18.4
三重,新北市,55,二氧化氮,普通,0.71,4.0,7.3,63.4
冬山,宜蘭縣,30,,良好,0.13,0.0,4.8,3.0
宜蘭,宜蘭縣,25,,良好,0.15,4.0,5.5,3.3
陽明,台北市,37,,良好,0.14,4.0,3.5,2.0
花蓮,花蓮縣,29,,良好,0.35,4.0,3.7,13.6
臺東,台東縣,27,,良好,0.2,4.0,4.8,6.2
