station_no,station_name,tel,address,latitude,longitude,note,city,district
A12,宏立機車事業有限公司,02-27065429,臺北市大安區和平東路2段141號,25.025408,121.541011,"今日正常營業,但實際營業狀況依現場為主",台北市,大安區
A15,群億車業商行,02-27603181,臺北市松山區八德路4段336號,25.049110,121.568072,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
A16,松春來車業有限公司,02-27666884,臺北市松山區民權東路5段30號,25.062825,121.564260,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
A17,國盛機車行,02-27688819,臺北市松山區撫遠街189號,25.059516,121.568388,"今日正常營業,但實際營業狀況依現場為主",台北市,松山區
A19,益隆車業有限公司,02-28127500,臺北市士林區重慶北路四段244號,25.086540,121.511331,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
A20,台益機車有限公司,02-28122405,臺北市士林區延平北路五段129號1樓,25.081983,121.510242,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
A21,良陽國際有限公司,02-28370460,臺北市士林區士東路250號,25.112902,121.535607,"今日正常營業,但實際營業狀況依現場為主",台北市,士林區
A22,加祥車業有限公司,02-25571818,臺北市大同區延平北路二段256號,25.060296,121.511276,"將於12/5 15:15-12/26 23:59暫停檢驗,但實際營業狀況依現場為主",台北市,大同區
A23,忠億車業有限公司,02-25525232,臺北市大同區西寧北路17之4號,25.052573,121.508701,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A24,順旺車業有限公司,02-25589506,臺北市大同區鄭州路97、99號,25.050590,121.511883,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A25,新協大車業有限公司,02-25924480,臺北市大同區延平北路三段67之1號,25.066300,121.511103,"今日正常營業,但實際營業狀況依現場為主",台北市,大同區
A26,大輝車業有限公司,02-27820869,臺北市南港區忠孝東路七段600號,25.052921,121.615303,"今日因故暫停檢驗,但實際營業狀況依現場為主",台北市,南港區
A28,新三和機車行,02-27970959,臺北市內湖區文德路22巷1號,25.078231,121.579475,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
A29,日盛車業有限公司,02-27934893,臺北市內湖區成功路三段73號,25.077907,121.590033,"今日正常營業,但實際營業狀況依現場為主",台北市,內湖區
A32,東龍旺車業有限公司,02-23320264,臺北市萬華區東園街133號,25.024874,121.497029,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
A33,得山車業有限公司,02-23313426,臺北市萬華區康定路114號,25.041027,121.502053,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
A34,健立車業有限公司,02-23082460,臺北市萬華區桂林路206號,25.038364,121.496800,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
A35,永振億實業有限公司,02-23044111,臺北市萬華區柳州街87號,25.036188,121.504225,"今日正常營業,但實際營業狀況依現場為主",台北市,萬華區
A36,運輪機車行,02-27215371,臺北市中山區八德路2段86號,25.045596,121.535771,"今日正常營業,但實際營業狀況依現場為主",台北市,中山區
